date,lat,lon,rainfall_mm
2024-01-01,17.250000000000004,69.15,0.0
2024-01-01,17.350000000000012,69.15,0.0
2024-01-01,17.450000000000006,69.15,0.0
2024-01-01,17.55,69.15,0.0
2024-01-01,17.65000000000001,69.15,0.0
2024-01-01,17.750000000000004,69.15,0.0
2024-01-01,17.850000000000012,69.15,0.0
2024-01-01,17.950000000000006,69.15,0.0
2024-01-01,18.05,69.15,0.0
2024-01-01,18.15000000000001,69.15,0.0
2024-01-01,18.250000000000004,69.15,0.0
2024-01-01,18.350000000000012,69.15,0.0
2024-01-01,18.450000000000006,69.15,0.0
2024-01-01,18.55,69.15,0.0
2024-01-01,18.65000000000001,69.15,0.0
2024-01-01,18.750000000000004,69.15,0.0
2024-01-01,18.850000000000012,69.15,0.0
2024-01-01,18.950000000000006,69.15,0.0
2024-01-01,19.05,69.15,0.0
2024-01-01,19.15000000000001,69.15,0.0
2024-01-01,19.250000000000004,69.15,0.0
2024-01-01,19.350000000000012,69.15,0.0
2024-01-01,19.450000000000006,69.15,0.0
2024-01-01,19.55,69.15,0.0
2024-01-01,19.65000000000001,69.15,0.0
2024-01-01,19.750000000000004,69.15,0.0
2024-01-01,19.850000000000012,69.15,0.0
2024-01-01,19.950000000000006,69.15,0.0
2024-01-01,20.05,69.15,0.0
2024-01-01,20.15000000000001,69.15,0.0
2024-01-01,20.250000000000004,69.15,0.0
2024-01-01,20.350000000000012,69.15,0.0
2024-01-01,20.450000000000006,69.15,0.0
2024-01-01,20.55,69.15,0.0
2024-01-01,20.65000000000001,69.15,0.0
2024-01-01,20.750000000000004,69.15,0.0
2024-01-01,20.850000000000012,69.15,0.0
2024-01-01,20.950000000000006,69.15,0.0
2024-01-01,21.05,69.15,0.0
2024-01-01,21.15000000000001,69.15,0.0
2024-01-01,21.250000000000004,69.15,0.0
2024-01-01,21.350000000000012,69.15,0.0
2024-01-01,21.450000000000006,69.15,0.0
2024-01-01,21.55,69.15,0.0
2024-01-01,21.65000000000001,69.15,0.0
2024-01-01,21.750000000000004,69.15,0.0
2024-01-01,21.850000000000012,69.15,0.0
2024-01-01,21.950000000000006,69.15,0.0
2024-01-01,22.05,69.15,0.0
2024-01-01,22.15000000000001,69.15,0.0
2024-01-01,22.250000000000004,69.15,0.0
2024-01-01,22.350000000000012,69.15,0.0
2024-01-01,22.450000000000006,69.15,0.0
2024-01-01,22.55,69.15,0.0
2024-01-01,22.65000000000001,69.15,0.0
2024-01-01,22.750000000000004,69.15,0.0
2024-01-01,22.850000000000012,69.15,0.0
2024-01-01,22.950000000000006,69.15,0.0
2024-01-01,23.05,69.15,0.0
2024-01-01,23.15000000000001,69.15,0.0
2024-01-01,23.250000000000004,69.15,0.0
2024-01-01,23.350000000000012,69.15,0.0
2024-01-01,23.450000000000006,69.15,0.0
2024-01-01,23.55,69.15,0.0
2024-01-01,23.65000000000001,69.15,0.0
2024-01-01,23.750000000000004,69.15,0.0
2024-01-01,23.850000000000012,69.15,0.0
2024-01-01,23.950000000000006,69.15,0.0
2024-01-01,24.05,69.15,0.0
2024-01-01,24.15000000000001,69.15,0.0
2024-01-01,24.250000000000004,69.15,0.48999998
2024-01-01,24.350000000000012,69.15,0.0
2024-01-01,24.450000000000006,69.15,0.0
2024-01-01,24.55,69.15,0.0
2024-01-01,24.65000000000001,69.15,0.0
2024-01-01,24.750000000000004,69.15,0.0
2024-01-01,24.850000000000012,69.15,0.0
2024-01-01,24.950000000000006,69.15,0.0
2024-01-01,25.05,69.15,0.0
2024-01-01,25.15000000000001,69.15,0.0
2024-01-01,25.250000000000004,69.15,0.0
2024-01-01,25.350000000000012,69.15,0.0
2024-01-01,25.450000000000006,69.15,0.0
2024-01-01,25.55,69.15,0.0
2024-01-01,25.65000000000001,69.15,0.0
2024-01-01,25.750000000000004,69.15,0.0
2024-01-01,25.850000000000012,69.15,0.0
2024-01-01,25.950000000000006,69.15,0.0
2024-01-01,26.05,69.15,0.0
2024-01-01,26.15000000000001,69.15,0.0
2024-01-01,26.250000000000004,69.15,0.0
2024-01-01,26.350000000000012,69.15,0.0
2024-01-01,26.450000000000006,69.15,0.0
2024-01-01,26.55,69.15,0.0
2024-01-01,26.65000000000001,69.15,0.0
2024-01-01,26.750000000000004,69.15,0.0
2024-01-01,26.850000000000012,69.15,0.0
2024-01-01,26.950000000000006,69.15,0.0
2024-01-01,27.05,69.15,0.0
2024-01-01,27.15000000000001,69.15,0.0
2024-01-01,27.250000000000004,69.15,0.0
2024-01-01,27.350000000000012,69.15,0.0
2024-01-01,27.450000000000006,69.15,0.0
2024-01-01,27.55,69.15,0.0
2024-01-01,27.65000000000001,69.15,0.0
2024-01-01,27.750000000000004,69.15,0.0
2024-01-01,27.850000000000012,69.15,0.0
2024-01-01,27.950000000000006,69.15,0.0
2024-01-01,28.05,69.15,0.0
2024-01-01,28.15000000000001,69.15,0.0
2024-01-01,28.250000000000004,69.15,0.0
2024-01-01,28.350000000000012,69.15,0.0
2024-01-01,28.450000000000006,69.15,0.0
2024-01-01,28.55,69.15,0.0
2024-01-01,28.65000000000001,69.15,0.0
2024-01-01,28.750000000000004,69.15,0.0
2024-01-01,28.850000000000012,69.15,0.0
2024-01-01,28.950000000000006,69.15,0.0
2024-01-01,29.05,69.15,0.0
2024-01-01,29.15000000000001,69.15,0.0
2024-01-01,29.250000000000004,69.15,0.0
2024-01-01,29.350000000000012,69.15,0.0
2024-01-01,29.450000000000006,69.15,0.0
2024-01-01,29.55,69.15,0.0
2024-01-01,29.65000000000001,69.15,0.0
2024-01-01,29.750000000000004,69.15,0.0
2024-01-01,29.850000000000012,69.15,0.0
2024-01-01,29.950000000000006,69.15,0.0
2024-01-01,30.05,69.15,0.0
2024-01-01,30.15000000000001,69.15,0.0
2024-01-01,30.250000000000004,69.15,0.0
2024-01-01,30.350000000000012,69.15,0.0
2024-01-01,30.450000000000006,69.15,0.0
2024-01-01,30.55,69.15,0.0
2024-01-01,30.65000000000001,69.15,0.0
2024-01-01,30.750000000000004,69.15,0.0
2024-01-01,30.850000000000012,69.15,0.0
2024-01-01,30.950000000000006,69.15,0.0
2024-01-01,31.05,69.15,0.0
2024-01-01,31.15000000000001,69.15,0.0
2024-01-01,31.250000000000004,69.15,0.0
2024-01-01,31.350000000000012,69.15,0.0
2024-01-01,31.450000000000006,69.15,0.0
2024-01-01,31.55,69.15,0.0
2024-01-01,31.65000000000001,69.15,0.0
2024-01-01,31.750000000000004,69.15,0.0
2024-01-01,31.850000000000012,69.15,0.0
2024-01-01,31.950000000000006,69.15,0.0
2024-01-01,32.05,69.15,0.0
2024-01-01,32.150000000000006,69.15,0.0
2024-01-01,32.25,69.15,0.0
2024-01-01,32.35000000000001,69.15,0.0
2024-01-01,32.45,69.15,0.0
2024-01-01,32.55,69.15,0.0
2024-01-01,32.650000000000006,69.15,0.0
2024-01-01,32.75,69.15,0.0
2024-01-01,32.85000000000001,69.15,0.0
2024-01-01,32.95,69.15,0.0
2024-01-01,33.05,69.15,0.0
2024-01-01,33.150000000000006,69.15,0.0
2024-01-01,33.25,69.15,0.0
2024-01-01,33.35000000000001,69.15,0.0
2024-01-01,33.45,69.15,0.0
2024-01-01,33.55,69.15,0.0
2024-01-01,33.650000000000006,69.15,0.0
2024-01-01,33.75,69.15,0.0
2024-01-01,33.85000000000001,69.15,0.0
2024-01-01,33.95,69.15,0.0
2024-01-01,34.05,69.15,0.0
2024-01-01,34.150000000000006,69.15,0.0
2024-01-01,34.25,69.15,0.0
2024-01-01,34.35000000000001,69.15,0.0
2024-01-01,34.45,69.15,0.0
2024-01-01,34.55,69.15,0.0
2024-01-01,34.650000000000006,69.15,0.0
2024-01-01,34.75,69.15,0.0
2024-01-01,5.05,69.25,1.4599998
2024-01-01,5.150000000000008,69.25,0.6649999
2024-01-01,5.250000000000003,69.25,0.57
2024-01-01,5.350000000000011,69.25,0.099999994
2024-01-01,5.4500000000000055,69.25,0.175
2024-01-01,5.55,69.25,0.175
2024-01-01,5.650000000000008,69.25,0.15500002
2024-01-01,5.750000000000003,69.25,0.16
2024-01-01,5.850000000000011,69.25,0.225
2024-01-01,5.9500000000000055,69.25,0.51
2024-01-01,6.05,69.25,0.65500003
2024-01-01,6.150000000000008,69.25,0.86
2024-01-01,6.250000000000003,69.25,1.135
2024-01-01,6.350000000000011,69.25,2.9199998
2024-01-01,6.4500000000000055,69.25,5.8100004
2024-01-01,6.55,69.25,8.094999
2024-01-01,6.650000000000008,69.25,8.675
2024-01-01,6.750000000000003,69.25,7.6349993
2024-01-01,6.850000000000011,69.25,6.3499994
2024-01-01,6.9500000000000055,69.25,5.04
2024-01-01,7.05,69.25,5.8499994
2024-01-01,7.150000000000008,69.25,6.59
2024-01-01,7.250000000000003,69.25,6.4500003
2024-01-01,7.350000000000011,69.25,11.450001
2024-01-01,7.4500000000000055,69.25,11.525001
2024-01-01,7.55,69.25,15.799999
2024-01-01,7.650000000000008,69.25,16.944998
2024-01-01,7.750000000000003,69.25,15.875
2024-01-01,7.850000000000011,69.25,15.004999
2024-01-01,7.9500000000000055,69.25,26.885002
2024-01-01,8.05,69.25,28.005001
2024-01-01,8.15000000000001,69.25,31.529999
2024-01-01,8.250000000000004,69.25,35.035
2024-01-01,8.350000000000012,69.25,21.599998
2024-01-01,8.450000000000006,69.25,12.254999
2024-01-01,8.55,69.25,9.38
2024-01-01,8.65000000000001,69.25,4.894999
2024-01-01,8.750000000000004,69.25,3.2949996
2024-01-01,8.850000000000012,69.25,2.4900005
2024-01-01,8.950000000000006,69.25,4.8399997
2024-01-01,9.05,69.25,6.035001
2024-01-01,9.15000000000001,69.25,12.535002
2024-01-01,9.250000000000004,69.25,11.295002
2024-01-01,9.350000000000012,69.25,6.9049997
2024-01-01,9.450000000000006,69.25,4.415001
2024-01-01,9.55,69.25,14.16
2024-01-01,9.65000000000001,69.25,13.1849985
2024-01-01,9.750000000000004,69.25,9.634998
2024-01-01,9.850000000000012,69.25,10.509998
2024-01-01,9.950000000000006,69.25,27.939999
2024-01-01,10.05,69.25,28.679998
2024-01-01,10.15000000000001,69.25,26.925
2024-01-01,10.250000000000004,69.25,15.175
2024-01-01,10.350000000000012,69.25,10.065
2024-01-01,10.450000000000006,69.25,6.3600006
2024-01-01,10.55,69.25,6.0199995
2024-01-01,10.65000000000001,69.25,3.0349998
2024-01-01,10.750000000000004,69.25,3.8750005
2024-01-01,10.850000000000012,69.25,2.735
2024-01-01,10.950000000000006,69.25,2.445
2024-01-01,11.05,69.25,0.57
2024-01-01,11.15000000000001,69.25,0.18
2024-01-01,11.250000000000004,69.25,0.01
2024-01-01,11.350000000000012,69.25,0.0
2024-01-01,11.450000000000006,69.25,0.0
2024-01-01,11.55,69.25,0.0
2024-01-01,11.65000000000001,69.25,0.0
2024-01-01,11.750000000000004,69.25,0.0
2024-01-01,11.850000000000012,69.25,0.0
2024-01-01,11.950000000000006,69.25,0.0
2024-01-01,12.05,69.25,0.0
2024-01-01,12.15000000000001,69.25,0.0
2024-01-01,12.250000000000004,69.25,0.0
2024-01-01,12.350000000000012,69.25,0.0
2024-01-01,12.450000000000006,69.25,0.0
2024-01-01,12.55,69.25,0.0
2024-01-01,12.65000000000001,69.25,0.0
2024-01-01,12.750000000000004,69.25,0.0
2024-01-01,12.850000000000012,69.25,0.114999995
2024-01-01,12.950000000000006,69.25,0.0
2024-01-01,13.05,69.25,0.0
2024-01-01,13.15000000000001,69.25,0.0
2024-01-01,13.250000000000004,69.25,0.28999996
2024-01-01,13.350000000000012,69.25,0.28999996
2024-01-01,13.450000000000006,69.25,0.01
2024-01-01,13.55,69.25,0.3
2024-01-01,13.65000000000001,69.25,0.59999996
2024-01-01,13.750000000000004,69.25,0.055
2024-01-01,13.850000000000012,69.25,0.0
2024-01-01,13.950000000000006,69.25,0.0
2024-01-01,14.05,69.25,0.0
2024-01-01,14.15000000000001,69.25,0.0
2024-01-01,14.250000000000004,69.25,0.049999997
2024-01-01,14.350000000000012,69.25,0.049999997
2024-01-01,14.450000000000006,69.25,0.0
2024-01-01,14.55,69.25,0.0
2024-01-01,14.65000000000001,69.25,0.0
2024-01-01,14.750000000000004,69.25,0.0
2024-01-01,14.850000000000012,69.25,0.0
2024-01-01,14.950000000000006,69.25,0.0
2024-01-01,15.05,69.25,0.0
2024-01-01,15.15000000000001,69.25,0.0
2024-01-01,15.250000000000004,69.25,0.0
2024-01-01,15.350000000000012,69.25,0.0
2024-01-01,15.450000000000006,69.25,0.0
2024-01-01,15.55,69.25,0.0
2024-01-01,15.65000000000001,69.25,0.0
2024-01-01,15.750000000000004,69.25,0.0
2024-01-01,15.850000000000012,69.25,0.0
2024-01-01,15.950000000000006,69.25,0.0
