state,district,flood_probability,risk_level,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_30d,rainfall_ml_probability,weather_probability,satellite_probability,final_flood_probability,alert,alert_priority,prediction_confidence,risk_evidence,alert_message
Andhra Pradesh,Krishna,0.6444965524983958,HIGH,125.439995,645.639994999999,1366.8399829999998,12176.579974,0.644497,0.0,0.0,0.644497,True,2,MEDIUM,moderate rainfall ML signal (64.4%),"HIGH flood risk detected in Krishna, Andhra Pradesh. Probability: 64.4%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (64.4%)."
Andhra Pradesh,Khammam,0.6443895171111312,HIGH,304.13498,683.01001,1363.1850069999991,3590.80501303,0.64439,0.0,0.0,0.64439,True,2,MEDIUM,moderate rainfall ML signal (64.4%),"HIGH flood risk detected in Khammam, Andhra Pradesh. Probability: 64.4%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (64.4%)."
Orissa,Kalahandi,0.6412238324157823,HIGH,748.765,1397.98497,1579.8899670000003,4877.14990885,0.641224,0.0,0.0,0.641224,True,2,MEDIUM,moderate rainfall ML signal (64.1%),"HIGH flood risk detected in Kalahandi, Orissa. Probability: 64.1%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (64.1%)."
Jharkhand,Jamtara,0.6366075721660851,HIGH,23.994999,1666.884999,1746.4899988,6395.5999008,0.636608,0.0,0.0,0.636608,True,2,MEDIUM,moderate rainfall ML signal (63.7%),"HIGH flood risk detected in Jamtara, Jharkhand. Probability: 63.7%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (63.7%)."
Karnataka,Bijapur,0.6349590511866857,HIGH,279.41,1137.68,1884.1149900000005,13747.7197289,0.634959,0.0,0.0,0.634959,True,2,MEDIUM,moderate rainfall ML signal (63.5%),"HIGH flood risk detected in Bijapur, Karnataka. Probability: 63.5%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (63.5%)."
Gujarat,Gandhinagar,0.6300971064553919,HIGH,2.83,370.43999000000025,436.609988,4304.2149175,0.630097,0.0,0.0,0.630097,True,2,MEDIUM,moderate rainfall ML signal (63.0%),"HIGH flood risk detected in Gandhinagar, Gujarat. Probability: 63.0%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (63.0%)."
Madhya Pradesh,Rewa,0.6272219293896512,HIGH,1.775,447.11498,536.4399787999996,8507.129878140002,0.627222,0.0,0.0,0.627222,True,2,MEDIUM,moderate rainfall ML signal (62.7%),"HIGH flood risk detected in Rewa, Madhya Pradesh. Probability: 62.7%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (62.7%)."
Rajasthan,Dausa,0.6266505772033191,HIGH,44.71,275.61999999999995,334.10499700000014,4605.009854999999,0.626651,0.0,0.0,0.626651,True,2,MEDIUM,moderate rainfall ML signal (62.7%),"HIGH flood risk detected in Dausa, Rajasthan. Probability: 62.7%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (62.7%)."
West Bengal,South 24 Parganas,0.6263843394064805,HIGH,221.495,1400.0349,1647.0348849999996,16674.339548999997,0.626384,0.0,0.0,0.626384,True,2,MEDIUM,moderate rainfall ML signal (62.6%),"HIGH flood risk detected in South 24 Parganas, West Bengal. Probability: 62.6%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (62.6%)."
Maharashtra,Chandrapur,0.6224902463084736,HIGH,907.735,2029.9550000000004,2348.294996,8263.0449097,0.62249,0.0,0.0,0.62249,True,2,MEDIUM,moderate rainfall ML signal (62.2%),"HIGH flood risk detected in Chandrapur, Maharashtra. Probability: 62.2%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (62.2%)."
Orissa,Jagatsinghpur,0.6224037721206099,HIGH,53.545002,410.105002,516.3550065000002,3248.91487006,0.622404,0.0,0.0,0.622404,True,2,MEDIUM,moderate rainfall ML signal (62.2%),"HIGH flood risk detected in Jagatsinghpur, Orissa. Probability: 62.2%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (62.2%)."
Uttar Pradesh,Kanpur,0.6202992417575357,HIGH,9.44,214.74998999999968,358.06998980000014,3148.10997815,0.620299,0.0,0.0,0.620299,True,2,MEDIUM,moderate rainfall ML signal (62.0%),"HIGH flood risk detected in Kanpur, Uttar Pradesh. Probability: 62.0%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (62.0%)."
Tamil Nadu,Tiruvannamalai,0.6186704829798927,HIGH,201.44,325.3899960000002,714.9499857999999,3380.1348971,0.61867,0.0,0.0,0.61867,True,2,MEDIUM,moderate rainfall ML signal (61.9%),"HIGH flood risk detected in Tiruvannamalai, Tamil Nadu. Probability: 61.9%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (61.9%)."
Gujarat,Bhavnagar,0.616899357658443,HIGH,18.795002,279.5699920000023,459.1299815999996,12413.1248308,0.616899,0.0,0.0,0.616899,True,2,MEDIUM,moderate rainfall ML signal (61.7%),"HIGH flood risk detected in Bhavnagar, Gujarat. Probability: 61.7%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (61.7%)."
Maharashtra,Raigarh,0.6090102514079964,HIGH,668.605,1954.0249999999992,2196.6250045,4213.3099807,0.60901,0.0,0.0,0.60901,True,2,MEDIUM,moderate rainfall ML signal (60.9%),"HIGH flood risk detected in Raigarh, Maharashtra. Probability: 60.9%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (60.9%)."
Assam,Dhemaji,0.6014921504208187,HIGH,14.089999,179.33000400000023,240.4450034,4309.494970000001,0.601492,0.0,0.0,0.601492,True,2,MEDIUM,moderate rainfall ML signal (60.1%),"HIGH flood risk detected in Dhemaji, Assam. Probability: 60.1%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (60.1%)."
Gujarat,Mahesana,0.5973978517877656,HIGH,2.36,150.94000399999908,189.8450029799992,4252.45490688,0.597398,0.0,0.0,0.597398,True,2,MEDIUM,moderate rainfall ML signal (59.7%),"HIGH flood risk detected in Mahesana, Gujarat. Probability: 59.7%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (59.7%)."
Andhra Pradesh,Anantapur,0.595239856041257,HIGH,193.22499,564.67499,1638.029983,10842.1348917,0.59524,0.0,0.0,0.59524,True,2,MEDIUM,moderate rainfall ML signal (59.5%),"HIGH flood risk detected in Anantapur, Andhra Pradesh. Probability: 59.5%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (59.5%)."
Madhya Pradesh,Dhar,0.5940107172143597,HIGH,218.055,1730.065,1946.0650000000005,11692.37979,0.594011,0.0,0.0,0.594011,True,2,MEDIUM,moderate rainfall ML signal (59.4%),"HIGH flood risk detected in Dhar, Madhya Pradesh. Probability: 59.4%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (59.4%)."
Assam,Karbi Anglong,0.5939174489284524,HIGH,0.625,436.6949799999974,646.0899789900009,9607.40470689,0.593917,0.0,0.0,0.593917,True,2,MEDIUM,moderate rainfall ML signal (59.4%),"HIGH flood risk detected in Karbi Anglong, Assam. Probability: 59.4%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (59.4%)."
Bihar,Darbhanga,0.5915083902750277,HIGH,4.8399997,438.0649997000002,617.6899921999998,5664.919929500001,0.591508,0.0,0.0,0.591508,True,2,MEDIUM,moderate rainfall ML signal (59.2%),"HIGH flood risk detected in Darbhanga, Bihar. Probability: 59.2%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (59.2%)."
Haryana,Bhiwani,0.5882907607774591,HIGH,53.135002,375.9749920000005,547.2749910000005,11170.034673,0.588291,0.0,0.0,0.588291,True,2,MEDIUM,moderate rainfall ML signal (58.8%),"HIGH flood risk detected in Bhiwani, Haryana. Probability: 58.8%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (58.8%)."
Madhya Pradesh,Chhatarpur,0.5871644882720931,HIGH,112.58,2883.924899999998,3231.469899000001,17428.284491,0.587164,0.0,0.0,0.587164,True,2,MEDIUM,moderate rainfall ML signal (58.7%),"HIGH flood risk detected in Chhatarpur, Madhya Pradesh. Probability: 58.7%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (58.7%)."
Karnataka,Davanagere,0.580664396641514,HIGH,39.215,178.36,689.3799599999999,2631.0199657000003,0.580664,0.0,0.0,0.580664,True,2,MEDIUM,moderate rainfall ML signal (58.1%),"HIGH flood risk detected in Davanagere, Karnataka. Probability: 58.1%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (58.1%)."
Madhya Pradesh,Damoh,0.5805580318498544,HIGH,83.66499,380.63496999999927,400.4199697000013,2806.9848766,0.580558,0.0,0.0,0.580558,True,2,MEDIUM,moderate rainfall ML signal (58.1%),"HIGH flood risk detected in Damoh, Madhya Pradesh. Probability: 58.1%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (58.1%)."
Karnataka,Uttar Kannand,0.5802758182795369,HIGH,115.130005,342.92000500000006,825.7449848,7014.8998685,0.580276,0.0,0.0,0.580276,True,2,MEDIUM,moderate rainfall ML signal (58.0%),"HIGH flood risk detected in Uttar Kannand, Karnataka. Probability: 58.0%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (58.0%)."
Gujarat,Junagadh,0.5764824208163545,HIGH,746.065,1719.2249800000004,2013.194978,24226.224583,0.576482,0.0,0.0,0.576482,True,2,MEDIUM,moderate rainfall ML signal (57.6%),"HIGH flood risk detected in Junagadh, Gujarat. Probability: 57.6%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (57.6%)."
Maharashtra,Nanded,0.575109789462801,HIGH,548.68,1622.084999999999,2135.569990000001,14478.1696967,0.57511,0.0,0.0,0.57511,True,2,MEDIUM,moderate rainfall ML signal (57.5%),"HIGH flood risk detected in Nanded, Maharashtra. Probability: 57.5%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (57.5%)."
Maharashtra,Satara,0.5739522324687356,HIGH,0.0,49.82999800000012,581.8399949979997,4152.284955388,0.573952,0.0,0.0,0.573952,True,2,MEDIUM,moderate rainfall ML signal (57.4%),"HIGH flood risk detected in Satara, Maharashtra. Probability: 57.4%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (57.4%)."
Rajasthan,Ganganagar,0.5713247045382507,HIGH,11.785,119.8799949999991,206.7599946999977,7843.0600517,0.571325,0.0,0.0,0.571325,True,2,MEDIUM,moderate rainfall ML signal (57.1%),"HIGH flood risk detected in Ganganagar, Rajasthan. Probability: 57.1%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (57.1%)."
Orissa,Bolangir,0.5645617880881991,HIGH,115.185005,636.594995000002,1124.914975,15831.8296699,0.564562,0.0,0.0,0.564562,True,2,MEDIUM,moderate rainfall ML signal (56.5%),"HIGH flood risk detected in Bolangir, Orissa. Probability: 56.5%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (56.5%)."
Chhattisgarh,Korba,0.5618829436138335,HIGH,131.30998,2400.7199799999985,2644.499976,19112.174603,0.561883,0.0,0.0,0.561883,True,2,MEDIUM,moderate rainfall ML signal (56.2%),"HIGH flood risk detected in Korba, Chhattisgarh. Probability: 56.2%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (56.2%)."
Orissa,Malkangiri,0.5601524829404891,HIGH,1182.255,2298.575,2925.919977,9184.49982082,0.560152,0.0,0.0,0.560152,True,2,MEDIUM,moderate rainfall ML signal (56.0%),"HIGH flood risk detected in Malkangiri, Orissa. Probability: 56.0%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (56.0%)."
Maharashtra,Buldana,0.5584628558783659,HIGH,698.01,1523.44501,1783.6650079999988,12234.494754,0.558463,0.0,0.0,0.558463,True,2,MEDIUM,moderate rainfall ML signal (55.8%),"HIGH flood risk detected in Buldana, Maharashtra. Probability: 55.8%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (55.8%)."
Madhya Pradesh,Dindori,0.5582609010998033,HIGH,41.655003,1027.6099829999991,1167.064982,13943.2146588,0.558261,0.0,0.0,0.558261,True,2,MEDIUM,moderate rainfall ML signal (55.8%),"HIGH flood risk detected in Dindori, Madhya Pradesh. Probability: 55.8%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (55.8%)."
Jammu and Kashmir,Kathua,0.5557855780445521,HIGH,13.62,99.73500000000008,261.8300038,2973.2099948,0.555786,0.0,0.0,0.555786,True,2,MEDIUM,moderate rainfall ML signal (55.6%),"HIGH flood risk detected in Kathua, Jammu and Kashmir. Probability: 55.6%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (55.6%)."
Maharashtra,Akola,0.5527000136892721,HIGH,449.82498,1299.7899800000002,1593.3399899999995,12084.419784,0.5527,0.0,0.0,0.5527,True,2,MEDIUM,moderate rainfall ML signal (55.3%),"HIGH flood risk detected in Akola, Maharashtra. Probability: 55.3%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (55.3%)."
Uttar Pradesh,Deoria,0.5517714568931107,HIGH,0.60499996,126.85499795999954,253.4599979600009,3800.624972156,0.551771,0.0,0.0,0.551771,True,2,MEDIUM,moderate rainfall ML signal (55.2%),"HIGH flood risk detected in Deoria, Uttar Pradesh. Probability: 55.2%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (55.2%)."
Maharashtra,Ratnagiri,0.5501121883101612,HIGH,242.605,571.8650099999995,1306.969986,9241.18985,0.550112,0.0,0.0,0.550112,True,2,MEDIUM,moderate rainfall ML signal (55.0%),"HIGH flood risk detected in Ratnagiri, Maharashtra. Probability: 55.0%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (55.0%)."
