state,district,latitude,longitude,coordinate_source
Chhattisgarh,Bilaspur,22.1638486,82.1365923,cache/manual
Chhattisgarh,Dantewada,18.8640648,81.3833947,cache/manual
Chhattisgarh,Dhamtari,20.5326259,81.7155987,cache/manual
Chhattisgarh,Durg,21.1982964,81.4007922,cache/manual
Chhattisgarh,Janjgir-Champa,21.986403,82.5536606,cache/manual
Chhattisgarh,Jashpur,22.770251,83.9708013,cache/manual
Chhattisgarh,Kanker,20.2692747,81.4932111,cache/manual
Chhattisgarh,Kawardha,22.01,81.23,cache/manual
Chhattisgarh,Korba,22.5198217,82.6350029,cache/manual
Chhattisgarh,Koriya,23.476254,82.4776374,cache/manual
Chhattisgarh,Mahasamund,21.1922846,82.4890263,cache/manual
Chhattisgarh,Raigarh,22.2361795,83.3529534,cache/manual
Chhattisgarh,Raipur,21.2514,81.6296,cache/manual
Chhattisgarh,Raj Nandgaon,22.6881652,77.2851373,cache/manual
Chhattisgarh,Surguja,22.9470108,83.1656868,cache/manual
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.233792,73.0495173,cache/manual
Daman and Diu,Junagadh,21.5220416,70.4582458,cache/manual
Delhi,Delhi,28.6664535,77.2169781,cache/manual
Goa,North Goa,15.6038925,73.9967006,cache/manual
Goa,South Goa,15.3376121,73.9937035,cache/manual
Gujarat,Ahmedabad,23.0225,72.5714,cache/manual
Gujarat,Amreli,21.4176122,71.249609,cache/manual
Gujarat,Anand,22.4739858,72.7361779,cache/manual
Gujarat,Banaskantha,24.2693869,72.5367513,cache/manual
Gujarat,Bharuch,21.7080427,72.9956936,cache/manual
Gujarat,Bhavnagar,21.7718836,72.1416449,cache/manual
Gujarat,Dahod,22.9194099,74.1342725,cache/manual
Gujarat,Dang,20.7881718,73.7092033,cache/manual
Gujarat,Gandhinagar,23.2232877,72.6492267,cache/manual
Gujarat,Jamnagar,22.4732415,70.0552102,cache/manual
Gujarat,Junagadh,21.5220416,70.4582458,cache/manual
Gujarat,Kachchh,23.583333,70.0,cache/manual
Gujarat,Kheda,22.8532503,72.9953586,cache/manual
Gujarat,Mahesana,23.6015557,72.3867981,cache/manual
Gujarat,Narmada,21.7392624,73.6262458,cache/manual
Gujarat,Navsari,20.9467,72.952,cache/manual
Gujarat,Panchmahal,22.6978099,73.5980682,cache/manual
Gujarat,Patan,23.773753,71.6798581,cache/manual
Gujarat,Porbandar,21.6505229,69.6565371,cache/manual
