state,district,district_latitude,district_longitude,scene_id,acquisition_datetime,platform,orbit_state,instrument_mode,tiff_urls,has_vv,has_vh,download_status
Chhattisgarh,Dhamtari,20.5326259,81.7155987,S1A_IW_GRDH_1SDV_20241230T003014_20241230T003039_057214_07096B_5BEF_COG,2024-12-30 00:30:14.824471+00:00,sentinel-1a,descending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T003014_20241230T003039_057214_07096B_5BEF_COG.SAFE/measurement/s1a-iw-grd-vh-20241230t003014-20241230t003039-057214-07096b-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T003014_20241230T003039_057214_07096B_5BEF_COG.SAFE/measurement/s1a-iw-grd-vv-20241230t003014-20241230t003039-057214-07096b-001-cog.tiff,True,True,PENDING
Chhattisgarh,Kanker,20.2692747,81.4932111,S1A_IW_GRDH_1SDV_20241230T002949_20241230T003014_057214_07096B_8958_COG,2024-12-30 00:29:49.824029+00:00,sentinel-1a,descending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T002949_20241230T003014_057214_07096B_8958_COG.SAFE/measurement/s1a-iw-grd-vh-20241230t002949-20241230t003014-057214-07096b-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T002949_20241230T003014_057214_07096B_8958_COG.SAFE/measurement/s1a-iw-grd-vv-20241230t002949-20241230t003014-057214-07096b-001-cog.tiff,True,True,PENDING
Madhya Pradesh,Dindori,22.9070871,80.8846924,S1A_IW_GRDH_1SDV_20241230T002924_20241230T002949_057214_07096B_4CD3_COG,2024-12-30 00:29:24.823595+00:00,sentinel-1a,descending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T002924_20241230T002949_057214_07096B_4CD3_COG.SAFE/measurement/s1a-iw-grd-vh-20241230t002924-20241230t002949-057214-07096b-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T002924_20241230T002949_057214_07096B_4CD3_COG.SAFE/measurement/s1a-iw-grd-vv-20241230t002924-20241230t002949-057214-07096b-001-cog.tiff,True,True,PENDING
Uttar Pradesh,Chandauli,25.125695,83.2494601,S1A_IW_GRDH_1SDV_20241230T002859_20241230T002924_057214_07096B_E4B8_COG,2024-12-30 00:28:59.824664+00:00,sentinel-1a,descending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T002859_20241230T002924_057214_07096B_E4B8_COG.SAFE/measurement/s1a-iw-grd-vh-20241230t002859-20241230t002924-057214-07096b-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T002859_20241230T002924_057214_07096B_E4B8_COG.SAFE/measurement/s1a-iw-grd-vv-20241230t002859-20241230t002924-057214-07096b-001-cog.tiff,True,True,PENDING
Uttar Pradesh,Jaunpur,25.7967065,82.4888992,S1A_IW_GRDH_1SDV_20241230T002834_20241230T002859_057214_07096B_38D7_COG,2024-12-30 00:28:34.824227+00:00,sentinel-1a,descending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T002834_20241230T002859_057214_07096B_38D7_COG.SAFE/measurement/s1a-iw-grd-vh-20241230t002834-20241230t002859-057214-07096b-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T002834_20241230T002859_057214_07096B_38D7_COG.SAFE/measurement/s1a-iw-grd-vv-20241230t002834-20241230t002859-057214-07096b-001-cog.tiff,True,True,PENDING
Uttar Pradesh,Siddharthnagar,27.2511724,82.8716528,S1A_IW_GRDH_1SDV_20241230T002809_20241230T002834_057214_07096B_B190_COG,2024-12-30 00:28:09.823793+00:00,sentinel-1a,descending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T002809_20241230T002834_057214_07096B_B190_COG.SAFE/measurement/s1a-iw-grd-vh-20241230t002809-20241230t002834-057214-07096b-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T002809_20241230T002834_057214_07096B_B190_COG.SAFE/measurement/s1a-iw-grd-vv-20241230t002809-20241230t002834-057214-07096b-001-cog.tiff,True,True,PENDING
Bihar,East Champaran,26.6393261,84.8990136,S1A_IW_GRDH_1SDV_20241229T122207_20241229T122232_057207_070921_749D_COG,2024-12-29 12:22:07.978776+00:00,sentinel-1a,ascending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/29/S1A_IW_GRDH_1SDV_20241229T122207_20241229T122232_057207_070921_749D_COG.SAFE/measurement/s1a-iw-grd-vh-20241229t122207-20241229t122232-057207-070921-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/29/S1A_IW_GRDH_1SDV_20241229T122207_20241229T122232_057207_070921_749D_COG.SAFE/measurement/s1a-iw-grd-vv-20241229t122207-20241229t122232-057207-070921-001-cog.tiff,True,True,PENDING
Jharkhand,Koderma,24.4931239,85.5560811,S1A_IW_GRDH_1SDV_20241229T122142_20241229T122207_057207_070921_3D36_COG,2024-12-29 12:21:42.978220+00:00,sentinel-1a,ascending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/29/S1A_IW_GRDH_1SDV_20241229T122142_20241229T122207_057207_070921_3D36_COG.SAFE/measurement/s1a-iw-grd-vh-20241229t122142-20241229t122207-057207-070921-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/29/S1A_IW_GRDH_1SDV_20241229T122142_20241229T122207_057207_070921_3D36_COG.SAFE/measurement/s1a-iw-grd-vv-20241229t122142-20241229t122207-057207-070921-001-cog.tiff,True,True,PENDING
Jharkhand,Deoghar,24.4898318,86.6990182,S1A_IW_GRDH_1SDV_20241229T122117_20241229T122142_057207_070921_CC08_COG,2024-12-29 12:21:17.977665+00:00,sentinel-1a,ascending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/29/S1A_IW_GRDH_1SDV_20241229T122117_20241229T122142_057207_070921_CC08_COG.SAFE/measurement/s1a-iw-grd-vh-20241229t122117-20241229t122142-057207-070921-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/29/S1A_IW_GRDH_1SDV_20241229T122117_20241229T122142_057207_070921_CC08_COG.SAFE/measurement/s1a-iw-grd-vv-20241229t122117-20241229t122142-057207-070921-001-cog.tiff,True,True,PENDING
West Bengal,West Midnapore,22.4188528,87.307174,S1A_IW_GRDH_1SDV_20241229T122052_20241229T122117_057207_070921_68C9_COG,2024-12-29 12:20:52.978599+00:00,sentinel-1a,ascending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/29/S1A_IW_GRDH_1SDV_20241229T122052_20241229T122117_057207_070921_68C9_COG.SAFE/measurement/s1a-iw-grd-vh-20241229t122052-20241229t122117-057207-070921-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/29/S1A_IW_GRDH_1SDV_20241229T122052_20241229T122117_057207_070921_68C9_COG.SAFE/measurement/s1a-iw-grd-vv-20241229t122052-20241229t122117-057207-070921-001-cog.tiff,True,True,PENDING
Odisha,Cuttack,20.4686,85.8792,S1A_IW_GRDH_1SDV_20241229T122027_20241229T122052_057207_070921_6827_COG,2024-12-29 12:20:27.978046+00:00,sentinel-1a,ascending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/29/S1A_IW_GRDH_1SDV_20241229T122027_20241229T122052_057207_070921_6827_COG.SAFE/measurement/s1a-iw-grd-vh-20241229t122027-20241229t122052-057207-070921-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/29/S1A_IW_GRDH_1SDV_20241229T122027_20241229T122052_057207_070921_6827_COG.SAFE/measurement/s1a-iw-grd-vv-20241229t122027-20241229t122052-057207-070921-001-cog.tiff,True,True,PENDING
Odisha,Puri,19.8076083,85.8252538,S1A_IW_GRDH_1SDV_20241229T121958_20241229T122027_057207_070921_A324_COG,2024-12-29 12:19:58.968618+00:00,sentinel-1a,ascending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/29/S1A_IW_GRDH_1SDV_20241229T121958_20241229T122027_057207_070921_A324_COG.SAFE/measurement/s1a-iw-grd-vh-20241229t121958-20241229t122027-057207-070921-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/29/S1A_IW_GRDH_1SDV_20241229T121958_20241229T122027_057207_070921_A324_COG.SAFE/measurement/s1a-iw-grd-vv-20241229t121958-20241229t122027-057207-070921-001-cog.tiff,True,True,PENDING
Mizoram,Lawngtlai,22.3913377,92.7397189,S1A_IW_GRDH_1SDV_20241228T234835_20241228T234900_057199_0708DE_CB00_COG,2024-12-28 23:48:35.935982+00:00,sentinel-1a,descending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/28/S1A_IW_GRDH_1SDV_20241228T234835_20241228T234900_057199_0708DE_CB00_COG.SAFE/measurement/s1a-iw-grd-vh-20241228t234835-20241228t234900-057199-0708de-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/28/S1A_IW_GRDH_1SDV_20241228T234835_20241228T234900_057199_0708DE_CB00_COG.SAFE/measurement/s1a-iw-grd-vv-20241228t234835-20241228t234900-057199-0708de-001-cog.tiff,True,True,PENDING
Tripura,West Tripura,23.9153329,91.3879341,S1A_IW_GRDH_1SDV_20241228T234810_20241228T234835_057199_0708DE_036F_COG,2024-12-28 23:48:10.935258+00:00,sentinel-1a,descending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/28/S1A_IW_GRDH_1SDV_20241228T234810_20241228T234835_057199_0708DE_036F_COG.SAFE/measurement/s1a-iw-grd-vh-20241228t234810-20241228t234835-057199-0708de-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/28/S1A_IW_GRDH_1SDV_20241228T234810_20241228T234835_057199_0708DE_036F_COG.SAFE/measurement/s1a-iw-grd-vv-20241228t234810-20241228t234835-057199-0708de-001-cog.tiff,True,True,PENDING
Mizoram,Mamit,23.7564387,92.4515374,S1A_IW_GRDH_1SDV_20241228T234745_20241228T234810_057199_0708DE_0BE9_COG,2024-12-28 23:47:45.936037+00:00,sentinel-1a,descending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/28/S1A_IW_GRDH_1SDV_20241228T234745_20241228T234810_057199_0708DE_0BE9_COG.SAFE/measurement/s1a-iw-grd-vh-20241228t234745-20241228t234810-057199-0708de-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/28/S1A_IW_GRDH_1SDV_20241228T234745_20241228T234810_057199_0708DE_0BE9_COG.SAFE/measurement/s1a-iw-grd-vv-20241228t234745-20241228t234810-057199-0708de-001-cog.tiff,True,True,PENDING
Assam,Nagaon,26.3313646,92.7524763,S1A_IW_GRDH_1SDV_20241228T234720_20241228T234745_057199_0708DE_48B8_COG,2024-12-28 23:47:20.935338+00:00,sentinel-1a,descending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/28/S1A_IW_GRDH_1SDV_20241228T234720_20241228T234745_057199_0708DE_48B8_COG.SAFE/measurement/s1a-iw-grd-vh-20241228t234720-20241228t234745-057199-0708de-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/28/S1A_IW_GRDH_1SDV_20241228T234720_20241228T234745_057199_0708DE_48B8_COG.SAFE/measurement/s1a-iw-grd-vv-20241228t234720-20241228t234745-057199-0708de-001-cog.tiff,True,True,PENDING
Arunachal Pradesh,Tawang,27.5879186,91.863733,S1A_IW_GRDH_1SDV_20241228T234655_20241228T234720_057199_0708DE_5DA4_COG,2024-12-28 23:46:55.936103+00:00,sentinel-1a,descending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/28/S1A_IW_GRDH_1SDV_20241228T234655_20241228T234720_057199_0708DE_5DA4_COG.SAFE/measurement/s1a-iw-grd-vh-20241228t234655-20241228t234720-057199-0708de-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/28/S1A_IW_GRDH_1SDV_20241228T234655_20241228T234720_057199_0708DE_5DA4_COG.SAFE/measurement/s1a-iw-grd-vv-20241228t234655-20241228t234720-057199-0708de-001-cog.tiff,True,True,PENDING
Arunachal Pradesh,Upper Subansiri,28.2596054,94.0938106,S1A_IW_GRDH_1SDV_20241228T234630_20241228T234655_057199_0708DE_8D4A_COG,2024-12-28 23:46:30.935383+00:00,sentinel-1a,descending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/28/S1A_IW_GRDH_1SDV_20241228T234630_20241228T234655_057199_0708DE_8D4A_COG.SAFE/measurement/s1a-iw-grd-vh-20241228t234630-20241228t234655-057199-0708de-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/28/S1A_IW_GRDH_1SDV_20241228T234630_20241228T234655_057199_0708DE_8D4A_COG.SAFE/measurement/s1a-iw-grd-vv-20241228t234630-20241228t234655-057199-0708de-001-cog.tiff,True,True,PENDING
Rajasthan,Jaisalmer,27.0264162,70.777512,S1A_IW_GRDH_1SDV_20241228T131951_20241228T132016_057193_07089E_BC35_COG,2024-12-28 13:19:51.344064+00:00,sentinel-1a,ascending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/28/S1A_IW_GRDH_1SDV_20241228T131951_20241228T132016_057193_07089E_BC35_COG.SAFE/measurement/s1a-iw-grd-vh-20241228t131951-20241228t132016-057193-07089e-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/28/S1A_IW_GRDH_1SDV_20241228T131951_20241228T132016_057193_07089E_BC35_COG.SAFE/measurement/s1a-iw-grd-vv-20241228t131951-20241228t132016-057193-07089e-001-cog.tiff,True,True,PENDING
Rajasthan,Barmer,25.5814853,71.1924922,S1A_IW_GRDH_1SDV_20241228T131922_20241228T131951_057193_07089E_1019_COG,2024-12-28 13:19:22.562204+00:00,sentinel-1a,ascending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/28/S1A_IW_GRDH_1SDV_20241228T131922_20241228T131951_057193_07089E_1019_COG.SAFE/measurement/s1a-iw-grd-vh-20241228t131922-20241228t131951-057193-07089e-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/28/S1A_IW_GRDH_1SDV_20241228T131922_20241228T131951_057193_07089E_1019_COG.SAFE/measurement/s1a-iw-grd-vv-20241228t131922-20241228t131951-057193-07089e-001-cog.tiff,True,True,PENDING
