state,district,district_latitude,district_longitude,scene_id,acquisition_datetime,platform,orbit_state,instrument_mode,tiff_urls,has_vv,has_vh,download_status
Rajasthan,Jodhpur,26.2389,73.0243,S1A_IW_GRDH_1SDV_20241231T010930_20241231T010955_057229_070A0A_F40C_COG,2024-12-31 01:09:30.388722+00:00,sentinel-1a,descending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/31/S1A_IW_GRDH_1SDV_20241231T010930_20241231T010955_057229_070A0A_F40C_COG.SAFE/measurement/s1a-iw-grd-vh-20241231t010930-20241231t010955-057229-070a0a-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/31/S1A_IW_GRDH_1SDV_20241231T010930_20241231T010955_057229_070A0A_F40C_COG.SAFE/measurement/s1a-iw-grd-vv-20241231t010930-20241231t010955-057229-070a0a-001-cog.tiff,True,True,PENDING
Rajasthan,Bikaner,28.0159286,73.3171367,S1A_IW_GRDH_1SDV_20241231T010905_20241231T010930_057229_070A0A_15FA_COG,2024-12-31 01:09:05.388767+00:00,sentinel-1a,descending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/31/S1A_IW_GRDH_1SDV_20241231T010905_20241231T010930_057229_070A0A_15FA_COG.SAFE/measurement/s1a-iw-grd-vh-20241231t010905-20241231t010930-057229-070a0a-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/31/S1A_IW_GRDH_1SDV_20241231T010905_20241231T010930_057229_070A0A_15FA_COG.SAFE/measurement/s1a-iw-grd-vv-20241231t010905-20241231t010930-057229-070a0a-001-cog.tiff,True,True,PENDING
Rajasthan,Sri Ganganagar,29.4605539,73.5850528,S1A_IW_GRDH_1SDV_20241231T010840_20241231T010905_057229_070A0A_2D00_COG,2024-12-31 01:08:40.388817+00:00,sentinel-1a,descending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/31/S1A_IW_GRDH_1SDV_20241231T010840_20241231T010905_057229_070A0A_2D00_COG.SAFE/measurement/s1a-iw-grd-vh-20241231t010840-20241231t010905-057229-070a0a-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/31/S1A_IW_GRDH_1SDV_20241231T010840_20241231T010905_057229_070A0A_2D00_COG.SAFE/measurement/s1a-iw-grd-vv-20241231t010840-20241231t010905-057229-070a0a-001-cog.tiff,True,True,PENDING
Jammu and Kashmir,Rajouri,33.3772495,74.3132332,S1A_IW_GRDH_1SDV_20241231T010750_20241231T010815_057229_070A0A_FF0A_COG,2024-12-31 01:07:50.388901+00:00,sentinel-1a,descending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/31/S1A_IW_GRDH_1SDV_20241231T010750_20241231T010815_057229_070A0A_FF0A_COG.SAFE/measurement/s1a-iw-grd-vh-20241231t010750-20241231t010815-057229-070a0a-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/31/S1A_IW_GRDH_1SDV_20241231T010750_20241231T010815_057229_070A0A_FF0A_COG.SAFE/measurement/s1a-iw-grd-vv-20241231t010750-20241231t010815-057229-070a0a-001-cog.tiff,True,True,PENDING
Jammu and Kashmir,Srinagar,34.0747444,74.8204443,S1A_IW_GRDH_1SDV_20241231T010725_20241231T010750_057229_070A0A_BE8F_COG,2024-12-31 01:07:25.388931+00:00,sentinel-1a,descending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/31/S1A_IW_GRDH_1SDV_20241231T010725_20241231T010750_057229_070A0A_BE8F_COG.SAFE/measurement/s1a-iw-grd-vh-20241231t010725-20241231t010750-057229-070a0a-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/31/S1A_IW_GRDH_1SDV_20241231T010725_20241231T010750_057229_070A0A_BE8F_COG.SAFE/measurement/s1a-iw-grd-vv-20241231t010725-20241231t010750-057229-070a0a-001-cog.tiff,True,True,PENDING
Jammu and Kashmir,Baramulla,34.2086903,74.343498,S1A_IW_GRDH_1SDV_20241230T130517_20241230T130542_057222_0709C1_5C17_COG,2024-12-30 13:05:17.162639+00:00,sentinel-1a,ascending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T130517_20241230T130542_057222_0709C1_5C17_COG.SAFE/measurement/s1a-iw-grd-vh-20241230t130517-20241230t130542-057222-0709c1-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T130517_20241230T130542_057222_0709C1_5C17_COG.SAFE/measurement/s1a-iw-grd-vv-20241230t130517-20241230t130542-057222-0709c1-001-cog.tiff,True,True,PENDING
Jammu and Kashmir,Anantnag,33.74611,75.1854475,S1A_IW_GRDH_1SDV_20241230T130452_20241230T130517_057222_0709C1_2BB9_COG,2024-12-30 13:04:52.162708+00:00,sentinel-1a,ascending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T130452_20241230T130517_057222_0709C1_2BB9_COG.SAFE/measurement/s1a-iw-grd-vh-20241230t130452-20241230t130517-057222-0709c1-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T130452_20241230T130517_057222_0709C1_2BB9_COG.SAFE/measurement/s1a-iw-grd-vv-20241230t130452-20241230t130517-057222-0709c1-001-cog.tiff,True,True,PENDING
Punjab,Muktsar,30.4692,74.5182,S1A_IW_GRDH_1SDV_20241230T130427_20241230T130452_057222_0709C1_0A97_COG,2024-12-30 13:04:27.162778+00:00,sentinel-1a,ascending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T130427_20241230T130452_057222_0709C1_0A97_COG.SAFE/measurement/s1a-iw-grd-vh-20241230t130427-20241230t130452-057222-0709c1-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T130427_20241230T130452_057222_0709C1_0A97_COG.SAFE/measurement/s1a-iw-grd-vv-20241230t130427-20241230t130452-057222-0709c1-001-cog.tiff,True,True,PENDING
Haryana,Jind,29.3152073,76.314082,S1A_IW_GRDH_1SDV_20241230T130402_20241230T130427_057222_0709C1_4C8F_COG,2024-12-30 13:04:02.162847+00:00,sentinel-1a,ascending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T130402_20241230T130427_057222_0709C1_4C8F_COG.SAFE/measurement/s1a-iw-grd-vh-20241230t130402-20241230t130427-057222-0709c1-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T130402_20241230T130427_057222_0709C1_4C8F_COG.SAFE/measurement/s1a-iw-grd-vv-20241230t130402-20241230t130427-057222-0709c1-001-cog.tiff,True,True,PENDING
Haryana,Mahendragarh,28.1326971,76.1697448,S1A_IW_GRDH_1SDV_20241230T130337_20241230T130402_057222_0709C1_D88F_COG,2024-12-30 13:03:37.162916+00:00,sentinel-1a,ascending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T130337_20241230T130402_057222_0709C1_D88F_COG.SAFE/measurement/s1a-iw-grd-vh-20241230t130337-20241230t130402-057222-0709c1-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/30/S1A_IW_GRDH_1SDV_20241230T130337_20241230T130402_057222_0709C1_D88F_COG.SAFE/measurement/s1a-iw-grd-vv-20241230t130337-20241230t130402-057222-0709c1-001-cog.tiff,True,True,PENDING
